Product ID,Category,Sub Category,Description PT,Description DE,Description FR,Description ES,Description EN,Description ZH,Color,Sizes,Production Cost
1,Feminine,Coats and Blazers,Esportivo Veludo Verde Com Botões,Sport Samt Sport Mit Knöpfen,Sports Velvet Sports Avec Des Boutons,Deportes De Terciopelo Con Botones,Sports Velvet Sports With Buttons,运动天鹅绒运动与按钮,,S|M|L|XL,41.68
2,Feminine,Sweaters and Knitwear,Luxuoso Denim Rosa Com Botões,Luxuriöser Rosa Jeans Mit Knöpfen,Léchard De Denim Rose Avec Boutons,Denim Rosa Lujoso Con Botones,Luxurious Pink Denim With Buttons,豪华的粉红色牛仔布和纽扣,PINK,S|M|L|XL,15.07
3,Feminine,Dresses and Jumpsuits,Retrô Tricot Preto Estampado,Black Tricot Gedruckter Tricot,Tricot Imprimé En Tricot Noir,Tricot Negro Tricot Impreso,Black Tricot Printed Tricot,黑色三角形印刷三角形,BLACK,S|M|L,19.56
4,Feminine,Shirts and Blouses,Blusa De Algodão Básica,Basis -Baumwollbluse,Chemisier En Coton De Base,Blusa De Algodón,Basic Cotton Blouse,基本的棉衬衫,,S|M|L|XL,14.62
5,Feminine,T-shirts and Tops,T-Shirt Básica De Algodão,Basis-Baumwoll-T-Shirt,T-Shirt En Coton De Base,Camiseta Básica De Algodón,Basic Cotton T-Shirt,基本棉T恤,,S|M|L|XL,7.80
6,Feminine,Pants and Jeans,Calça Jeans Skinny Feminina,Weibliche Röhrenjeans,Jean Skinny Femelle,Jeans Flacos Femeninos,Female Skinny Jeans,女性紧身牛仔裤,,36|38|40|42|44|46,22.23
7,Feminine,Skirts and Shorts,Saia Midi Plissada Feminina,Midi Plissada Frauenrock,Jupe Féminine Midi Plissada,Falda De Mujeres Midi Plissada,Midi Plissada Women Skirt,Midi Plissada女裙子,,S|M|L|XL,4.98
8,Feminine,Suits and Sets,Conjunto De Blusa E Saia Midi,Midi Bluse Und Rockset,Jeu De Chemisier Midi Et De Jupe,Midi Blusa Y Falda Set,Midi Blouse And Skirt Set,Midi衬衫和裙子套装,,S|M|L|XL,29.05
9,Feminine,Sportswear,Conjunto De Moletom Feminino,Damen -Sweatshirt -Set,Sweat-Shirt Pour Femmes,Juego De Sudadera Para Mujeres,Women'S Sweatshirt Set,女子运动衫套装,,S|M|L|XL,17.22
10,Feminine,Lingerie and Pajamas,Sutiã De Renda Com Bojo,Skizzieren,Esquisser,Bosquejo,Sketch,草图,,S|M|L|XL,11.71
11,Feminine,Accessories,Bolsa De Couro Feminina,Damenledertasche,Sac En Cuir Pour Femmes,Bolso De Cuero Para Mujeres,Women'S Leather Bag,女人的皮包,,,16.49
12,Masculine,Coats and Blazers,Boho Renda Amarelo Com Capuz,Boho Gelbe Spitze Mit Kapuze,Dentelle Jaune Boho Avec Capuche,Boho De Encaje Amarillo Con Capucha,Boho Yellow Lace With Hood,波西米亚风蕾丝带引擎盖,YELLOW,M|L|XL|XXL,33.80
13,Masculine,Sweaters and Sweatshirts,Casual Tricot Vermelho Com Zíper,Lässiger Roter Trikot Mit Reißverschluss,Tricot Rouge Occasionnel Avec Fermeture Éclair,Tricot Rojo Casual Con Cremallera,Casual Red Tricot With Zipper,休闲红色三角形与拉链,RED,M|L|XL|XXL,25.21
14,Masculine,T-shirts and Polos,Boho Jacquard Branco Com Glitter,Boho Jacquard Branco Com Glitter,Boho Jacquard Branco Com Paillettes,Boho Jacquard Branco Com Brillo,Boho Jacquard Branco Com Glitter,Boho Jacquard Branco Com闪光,,M|L|XL|XXL,13.66
15,Masculine,Shirts,Camisa Social Masculina,Herren -Soziales Hemd,Chemise Sociale Pour Hommes,Camisa Social Masculina,Men'S Social Shirt,男士的社交衬衫,,M|L|XL|XXL,8.94
